Id,ACTION
1,0
2,1
3,1
4,0
5,1
6,1
7,1
8,1
9,0
10,1
11,1
12,0
13,0
14,0
15,1
16,1
17,0
18,0
19,1
20,1
21,1
<<<<<<< HEAD
22,1
=======
22,0
>>>>>>> f2fcf3860406353918d6357223d959f1b6cc36e9
23,0
24,1
25,0
26,1
27,0
28,0
29,1
30,0
31,1
32,1
33,1
34,1
35,0
36,1
37,1
38,1
39,0
40,0
41,0
42,1
43,1
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,1
54,1
<<<<<<< HEAD
55,1
=======
55,0
>>>>>>> f2fcf3860406353918d6357223d959f1b6cc36e9
56,0
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,0
68,1
69,1
70,0
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,0
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,0
87,0
88,1
89,1
90,1
91,1
92,0
93,1
94,0
95,1
96,1
97,0
98,1
99,1
100,1
101,1
102,0
103,1
104,0
105,0
106,1
107,1
108,0
109,1
110,1
111,0
112,0
113,1
114,1
115,1
<<<<<<< HEAD
116,1
=======
116,0
>>>>>>> f2fcf3860406353918d6357223d959f1b6cc36e9
117,1
118,1
119,1
120,1
121,1
122,1
123,0
124,1
125,1
126,0
127,0
<<<<<<< HEAD
128,1
=======
128,0
>>>>>>> f2fcf3860406353918d6357223d959f1b6cc36e9
129,0
130,0
131,1
132,1
133,1
134,0
135,1
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,1
144,1
145,1
146,0
147,0
148,0
149,1
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,1
158,0
159,1
160,0
161,0
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,0
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,0
178,1
179,1
180,0
181,0
182,0
183,1
184,0
185,1
186,0
187,1
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,0
201,1
<<<<<<< HEAD
202,1
=======
202,0
>>>>>>> f2fcf3860406353918d6357223d959f1b6cc36e9
203,0
204,0
205,1
206,1
207,1
208,1
209,0
210,1
211,1
212,0
213,1
214,0
215,1
216,1
217,1
218,1
219,1
220,0
221,0
222,1
223,1
224,0
225,1
226,0
227,0
228,0
229,1
230,1
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,0
239,1
240,1
241,1
242,0
243,0
244,1
245,0
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,0
259,0
260,1
261,1
262,0
263,1
264,1
265,1
266,1
267,0
268,1
269,1
270,1
271,1
272,0
273,0
274,1
275,1
276,0
277,1
278,1
279,0
280,0
281,1
282,1
283,0
284,1
285,1
286,1
287,1
288,1
289,0
290,1
291,0
292,1
293,1
294,0
295,1
296,0
297,0
298,1
299,0
300,1
301,0
302,1
303,0
304,0
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,0
315,1
316,1
317,1
318,1
319,0
320,1
321,1
322,0
323,1
324,1
325,1
326,0
327,1
328,1
329,1
330,1
331,0
332,0
333,1
334,0
335,1
336,1
337,0
338,1
339,0
340,0
341,1
342,1
343,0
344,1
345,1
346,1
347,0
348,0
349,1
350,0
351,0
352,1
353,0
354,0
