Id,ACTION
1,0
2,0
3,1
4,0
5,1
6,1
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,1
22,0
23,1
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,1
37,0
38,1
39,0
40,0
41,0
42,1
43,0
44,1
45,1
46,0
47,1
48,0
49,1
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,0
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,0
77,1
78,0
79,0
80,1
81,1
82,1
83,0
84,1
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,1
94,0
95,0
96,1
97,0
98,0
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,1
110,0
111,0
112,0
113,0
114,1
115,0
116,0
117,0
118,1
119,1
120,0
121,0
122,1
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,1
132,1
133,0
134,0
135,1
136,0
137,1
138,0
139,0
140,1
141,1
142,1
143,1
144,0
145,1
146,0
147,0
148,0
149,1
150,0
151,1
152,0
153,1
154,0
155,0
156,0
157,0
158,1
159,0
160,0
161,0
162,1
163,1
164,0
165,1
166,1
167,0
168,0
169,0
170,0
171,1
172,1
173,0
174,1
175,1
176,1
177,0
178,0
179,1
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,1
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,0
196,1
197,1
198,0
199,1
200,0
201,1
202,1
203,0
204,0
205,1
206,1
207,1
208,0
209,0
210,0
211,0
212,0
213,1
214,0
215,0
216,0
217,0
218,1
219,0
220,0
221,0
222,1
223,1
224,0
225,0
226,0
227,0
228,0
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,0
249,0
250,1
251,1
252,0
253,1
254,1
255,1
256,0
257,1
258,0
259,0
260,1
261,0
262,0
263,1
264,1
265,0
266,0
267,0
268,1
269,0
270,0
271,0
272,1
273,0
274,0
275,1
276,0
277,0
278,1
279,0
